idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type,GPT-2,GPT-2 Medium,GPT-2 Large,GPT-2 XL,Llama-2 7B,Llama-2 7B Chat,Llama-2 13B,Llama-2 13B Chat,Llama-2 70B,Llama-2 70B Chat,GPT-3 davinci,GPT-3.5 td-002,GPT-3.5 td-003
3,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,na_control,na_control,na_control,na_control,-28.300796508789062,-25.993396759033203,-23.46817970275879,-27.051981925964355,-22.03117179870605,-24.1974515914917,-20.750985145568848,-25.391003608703613,-20.33717060089112,-25.767897605896,-23.9063251,-20.8773208,-25.7664297
3,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-29.109054565429688,-28.67931365966797,-28.52773427963257,-29.94503355026245,-27.07417869567871,-27.429160118103027,-26.386030197143555,-26.551112174987797,-28.23644256591797,-28.110013961791992,-30.86580529,-26.72308504,-34.151374106
4,I always carry a bag when I travel,as it's my favourite one.,S,F1,always,QA,a/an,IND,-23.81414031982422,-24.38949203491211,-21.98546075820923,-23.74258184432984,-25.06095218658448,-29.306462287902832,-26.77999782562256,-32.02738857269287,-24.03844928741455,-34.01544570922852,-23.5563008,-26.9764598,-32.04366115
4,I always carry a bag when I travel,although it's a different one each time.,S,F2,always,QA,a/an,IND,-30.572265625,-26.37439346313477,-26.09217739105225,-25.16207695007324,-22.79844760894776,-29.23409080505371,-24.481306076049805,-27.33223247528076,-24.838207244873047,-27.182165145874023,-24.18010351,-28.77238771,-30.143791224
4,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control,-28.125701904296875,-24.483516693115234,-23.255141258239743,-24.879520893096924,-27.16245746612549,-30.41690349578857,-27.6794958114624,-29.132057189941406,-26.465744972229004,-33.05988693237305,-27.052197,-28.5999702,-34.566329849999995
4,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-34.67503356933594,-32.34145736694336,-32.045616149902344,-30.388404846191406,-30.40178680419922,-32.68625450134277,-30.90361499786377,-30.47558879852295,-28.870153427124023,-30.25512409210205,-31.154793005999995,-32.889077650000004,-41.141228486
5,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,always,QA,a/an,IND,-21.95261001586914,-20.626073122024536,-19.58353900909424,-19.05358457565308,-20.345264434814453,-27.798812866210938,-21.56847667694092,-26.26558017730713,-23.497061729431152,-29.406407356262207,-21.59774187,-24.541370883,-27.52620698
5,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,always,QA,a/an,IND,-30.059616088867188,-28.20828533172608,-26.133634567260746,-25.763193130493164,-25.9849853515625,-28.398966789245605,-24.82552719116211,-25.517842292785645,-22.73304748535156,-24.848464965820312,-25.917988200000003,-26.504796100000004,-30.3883027
5,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,na_control,na_control,na_control,na_control,-25.52339172363281,-22.628805994987488,-22.091336250305176,-23.4723596572876,-23.733527183532715,-28.211554527282715,-25.440841674804688,-32.39852237701416,-26.38631248474121,-32.05429935455322,-23.83972733,-25.554256289999994,-32.37546895
5,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,na_control,na_control,na_control,na_control,-32.144309997558594,-33.24466896057129,-31.63593912124633,-31.10562324523925,-34.34493923187256,-33.629916191101074,-31.692721366882324,-32.02518367767334,-30.173094749450684,-30.82921028137207,-32.368641649999994,-30.4225985,-43.3619071
7,I usually cook some dishes for dinner,because I love cooking those dishes.,S,F1,usually,QA,some,QD,-21.417282104492188,-20.3750228881836,-22.147199153900143,-23.177475452423096,-21.871387481689453,-26.64405918121338,-21.62923240661621,-26.76533031463623,-23.00010204315185,-27.482515335083008,-22.7792364,-19.6190816,-26.30835136
7,I usually cook some dishes for dinner,although it's a different set of dishes each time.,S,F2,usually,QA,some,QD,-32.669132232666016,-31.51098680496216,-32.30968475341797,-31.265106201171875,-32.54305934906006,-32.51210308074951,-33.10612106323242,-34.4771671295166,-30.9460973739624,-35.35480308532715,-31.61441557,-34.33762035,-32.941637586
7,I cooked some dishes for dinner,because I love cooking those dishes.,Sc,F1,na_control,na_control,na_control,na_control,-24.071128845214844,-25.309669494628903,-25.57454395294189,-27.014564990997314,-22.921049118041992,-26.59657096862793,-23.805259704589844,-26.232420921325684,-26.428939819335938,-28.48948860168457,-23.8994704,-26.22954832,-34.21410397
7,I cooked some dishes for dinner,although it's a different set of dishes each time.,Sc,F2,na_control,na_control,na_control,na_control,-35.38709259033203,-36.568376541137695,-34.48034191131592,-34.8225040435791,-37.67618465423584,-40.59142017364502,-37.33071613311768,-39.00080680847168,-36.63954448699951,-40.00695514678955,-35.95832991999999,-40.41333916,-49.064590200000005
8,I frequently watch a rom-com on the weekend,because it's my favourite rom-com.,S,F1,frequently,QA,a/an,IND,-22.84584045410156,-22.12849807739257,-21.67302417755127,-20.786969661712646,-24.5491304397583,-30.642797470092773,-22.315832138061523,-26.84715175628662,-23.410568237304688,-28.64700412750244,-25.6621990307,-31.67389307727,-37.73610669130001
8,I frequently watch a rom-com on the weekend,but it's a different rom-com each time.,S,F2,frequently,QA,a/an,IND,-30.09798812866211,-28.408939361572266,-25.10319566726685,-28.517542839050293,-22.56733798980713,-26.07740879058838,-23.88430976867676,-26.499070167541504,-26.90683650970459,-28.374908447265625,-23.179559060399995,-29.86527741872,-29.0664214114
8,I watched a rom-com on the weekend,because it's my favourite rom-com.,Sc,F1,na_control,na_control,na_control,na_control,-25.49874496459961,-24.15446853637696,-23.898563861846924,-21.559791088104248,-25.43697452545166,-34.41094207763672,-24.136061668396,-30.217087745666504,-26.01615047454834,-31.57435512542725,-26.2636582539,-28.29281310984,-36.75583775606
8,I watched a rom-com on the weekend,but it's a different rom-com each time.,Sc,F2,na_control,na_control,na_control,na_control,-31.749324798583984,-31.42710876464844,-30.01039981842041,-34.45847177505493,-32.87540054321289,-36.1710319519043,-33.5296516418457,-34.26123809814453,-34.643287658691406,-34.92616271972656,-28.992919444700004,-36.05089401160001,-40.9699060211
9,I sometimes listen to a few songs while working,because I really like those songs.,S,F1,sometimes,QA,a few,QD,-19.24427032470703,-18.768836975097656,-18.469013214111328,-17.901421546936035,-20.4571475982666,-25.86523532867432,-19.66354179382324,-25.575284957885746,-19.96438217163086,-26.30170440673828,-19.49428257,-21.69330833,-32.4294412
9,I sometimes listen to a few songs while working,though it's different songs each time.,S,F2,sometimes,QA,a few,QD,-33.904151916503906,-30.297338485717773,-31.41833066940308,-28.27745676040649,-30.94541454315185,-36.42832279205322,-26.276833534240723,-31.32411289215088,-26.41270160675049,-32.2525577545166,-25.92575168,-29.97115093,-34.4723283
9,I listened to a few songs while working,because I really like those songs.,Sc,F1,na_control,na_control,na_control,na_control,-22.555381774902344,-21.118297576904297,-21.91200542449951,-19.737927436828613,-21.77518653869629,-25.240490913391117,-23.123804092407227,-24.16804313659668,-22.97801780700684,-26.83238220214844,-23.40342905,-21.96622363,-31.386404
9,I listened to a few songs while working,though it's different songs each time.,Sc,F2,na_control,na_control,na_control,na_control,-36.55266571044922,-31.532100677490234,-34.07043170928955,-31.16502618789673,-35.60646915435791,-43.48104000091553,-31.8742733001709,-36.87604331970215,-31.24180221557617,-37.78686141967773,-36.82432864,-33.2096034,-36.57740753
10,I usually paint some pictures in my free time,because I enjoy painting those pictures.,S,F1,usually,QA,some,QD,-23.43114471435547,-19.92821502685547,-23.177876472473145,-22.498279571533203,-21.942641258239743,-29.3727388381958,-21.812110900878903,-26.33640480041504,-20.79237937927246,-29.11182403564453,-21.57892578,-25.68428667,-32.14917049
10,I usually paint some pictures in my free time,although it's a different set of pictures each time.,S,F2,usually,QA,some,QD,-33.602508544921875,-35.02807903289795,-34.62855529785156,-33.4146409034729,-35.386043548583984,-38.10662221908569,-34.65309810638428,-39.27711296081543,-37.89793014526367,-41.6737174987793,-35.017040725,-39.79323566,-41.37180188599999
10,I painted some pictures in my free time,because I enjoy painting those pictures.,Sc,F1,na_control,na_control,na_control,na_control,-24.2445068359375,-21.97080993652344,-24.942622661590576,-24.144248485565186,-22.92015171051025,-26.36005401611328,-22.04286193847656,-26.30815887451172,-22.36125373840332,-29.391274452209476,-22.877282800000003,-27.11226964,-32.68097168
10,I painted some pictures in my free time,although it's a different set of pictures each time.,Sc,F2,na_control,na_control,na_control,na_control,-34.47066879272461,-37.29979825019837,-34.62682008743286,-35.21965551376343,-40.39725685119629,-42.73261260986328,-37.38614463806152,-39.13814735412598,-40.469637870788574,-44.371660232543945,-37.56043907,-41.26807245,-45.89013947
11,I generally play with three dogs,because these three dogs are my pets.,S,F1,generally,QA,three,NMR,-25.84561920166016,-24.860897064208984,-25.199636459350582,-25.49585628509521,-24.070114135742188,-24.27287578582764,-24.69934558868408,-23.71627616882324,-25.87162208557129,-25.65796184539795,-26.2293974,-27.9630264,-26.78486545
11,I generally play with three dogs,although it's a different three dogs each time.,S,F2,generally,QA,three,NMR,-38.08073425292969,-36.17910385131836,-34.52242374420166,-31.73049545288086,-25.778377532958984,-27.287569522857662,-25.92416477203369,-28.166582107543945,-26.031396865844727,-29.648494720458984,-26.907435929999995,-29.9653461,-31.94101877
11,I played with three dogs,because these three dogs are my pets.,Sc,F1,na_control,na_control,na_control,na_control,-27.479591369628903,-27.31015014648437,-27.065942764282227,-26.819214820861816,-23.815619468688965,-24.000771522521973,-25.37130832672119,-24.06818962097168,-26.283926963806152,-25.148110389709476,-23.515499230000003,-25.26496215,-27.09427749
11,I played with three dogs,although it's a different three dogs each time.,Sc,F2,na_control,na_control,na_control,na_control,-40.421424865722656,-38.67263412475586,-36.222973346710205,-35.48969078063965,-34.59117031097412,-33.58953285217285,-34.09741306304932,-38.446584701538086,-35.28493595123291,-34.91675281524658,-34.32726719,-38.13009766,-41.72303437
13,I always wear a tie to work,as it's my favourite one.,S,F1,always,QA,a/an,IND,-23.908287048339844,-22.684722900390625,-23.17405605316162,-23.913565158844,-24.848435401916504,-28.09539794921875,-28.12998390197754,-34.98085308074951,-25.806132316589355,-36.02592372894287,-23.4202402,-29.200342700000004,-37.33985735
13,I always wear a tie to work,although it's a different one each time.,S,F2,always,QA,a/an,IND,-30.214157104492188,-28.99508476257324,-27.298065185546875,-26.963844299316406,-26.450926780700684,-30.11675071716309,-29.240185737609863,-38.91659641265869,-28.006065368652344,-36.38761329650879,-27.556102230000004,-35.72886886,-38.82912983
13,I always wear this tie to work,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control,-20.83843231201172,-19.604022979736328,-18.54759168624878,-17.2131986618042,-15.417196273803713,-20.210346221923828,-16.01895236968994,-18.26265811920166,-16.60214328765869,-20.556581497192383,-17.2789959,-17.370497299999997,-19.28377257
13,I always wear this tie to work,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-29.735870361328125,-27.59974193572998,-27.314321517944336,-27.67666816711425,-22.74699878692627,-26.96178150177002,-25.583393096923828,-33.31712913513184,-26.97394847869873,-28.81312465667725,-29.8087695,-32.952138760000004,-37.573185630000005
14,I generally play with four cats,because these four cats are my pets.,S,F1,generally,QA,four,NMR,-26.132232666015625,-24.72673416137696,-24.869186878204346,-24.9660325050354,-22.63847589492798,-22.76563549041748,-24.20810985565185,-25.00187873840332,-25.88410186767578,-26.9374942779541,-26.2350789,-26.1862781,-29.30024681
14,I generally play with four cats,although it's a different set of cats each time.,S,F2,generally,QA,four,NMR,-33.85108184814453,-31.61738920211792,-30.88385009765625,-32.063053607940674,-28.955286026000977,-29.2588415145874,-28.30033016204834,-30.462247848510746,-26.955525398254395,-28.18461513519287,-29.48268006,-28.53444818,-30.93332079
14,I generally play with these four cats,because these four cats are my pets.,Sc,F1,na_control,na_control,na_control,na_control,-21.829444885253903,-20.716301918029785,-21.60758638381958,-21.621612071990967,-18.42488956451416,-20.6300687789917,-21.257997512817383,-21.538877487182617,-22.74894523620605,-24.65027332305908,-22.69403344,-23.301125430000003,-24.51259517
14,I generally play with these four cats,although it's a different set of cats each time.,Sc,F2,na_control,na_control,na_control,na_control,-32.85953521728516,-30.482579231262207,-29.28394794464112,-30.658533573150635,-28.319544792175293,-27.450380325317383,-28.473610877990723,-30.449562072753903,-26.61137008666992,-28.44088840484619,-27.99176574,-32.02335161,-33.56221542
15,I always read a book before bed,as it's my favourite one.,S,F1,always,QA,a/an,IND,-25.107467651367188,-25.36005401611328,-22.743876457214355,-26.11751174926757,-24.634312629699707,-31.811755180358887,-26.171095848083496,-29.200544357299805,-26.986666679382324,-33.13563823699951,-24.7495373,-28.7611056,-33.40538308
15,I always read a book before bed,although it's a different book each night.,S,F2,always,QA,a/an,IND,-28.37338256835937,-29.22111225128174,-24.38388633728028,-24.19138813018799,-23.12652015686035,-25.06790256500244,-24.81105232238769,-25.46470260620117,-25.62835121154785,-29.402830123901367,-24.30958376,-25.548730939999995,-27.517709245
15,I always read this book before bed,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control,-21.977394104003903,-21.779529571533203,-17.946046352386475,-18.72541236877441,-16.902353286743164,-19.12159919738769,-19.29225826263428,-22.08613681793213,-18.741110801696777,-23.37153625488281,-18.2673771,-18.9538025,-22.4822115
15,I always read this book before bed,although it's a different book each night.,Sc,F2,na_control,na_control,na_control,na_control,-27.6592025756836,-28.736867547035217,-26.460087299346924,-27.29126262664795,-25.66591739654541,-28.440577507019043,-26.86303329467773,-29.3295955657959,-26.59019088745117,-28.13229274749756,-27.74741,-27.882531749999995,-29.960823630000004
16,I generally swim with two companions,because these two companions are my friends.,S,F1,generally,QA,two,NMR,-25.931884765625,-24.659820556640625,-25.840102195739743,-26.8987455368042,-25.49106979370117,-24.67189311981201,-26.04273128509521,-28.71330738067627,-26.60770797729492,-26.455763816833496,-27.4729917,-24.6609921,-25.729291000000007
16,I generally swim with two companions,although it's rarely the same pair of companions each time.,S,F2,generally,QA,two,NMR,-41.2260971069336,-35.220855712890625,-38.00467348098755,-37.0718092918396,-32.285264015197754,-36.72750377655029,-30.91170692443848,-32.167850494384766,-31.62949848175049,-36.75839042663574,-32.97778163000001,-35.265290314000005,-35.284456162999994
16,I generally swim with these two companions,because these two companions are my friends.,Sc,F1,na_control,na_control,na_control,na_control,-22.400894165039062,-20.38342666625977,-24.535500049591064,-23.55645036697388,-21.86783790588379,-20.908236503601078,-23.131589889526367,-23.79640865325928,-22.86827850341797,-23.139796257019043,-20.944860150000004,-20.959572400000003,-21.28791078
16,I generally swim with these two companions,although it's rarely the same pair of companions each time.,Sc,F2,na_control,na_control,na_control,na_control,-41.70269012451172,-37.447566986083984,-37.64296436309815,-38.40029239654541,-36.96992111206055,-40.53620052337647,-34.128061294555664,-35.812782287597656,-34.66567134857178,-40.71212196350098,-35.43561698,-36.11668048999999,-36.45794361
17,I usually read a poem at night,because it's my favorite.,S,F1,usually,QA,a/an,IND,-14.690963745117188,-16.631942749023438,-16.200620651245117,-16.24746799468994,-19.52667808532715,-21.818156242370605,-20.245737075805664,-22.0044059753418,-19.004547119140625,-23.85509490966797,-17.429699799999998,-19.0387209,-26.86961277
17,I usually read a poem at night,but it's a different poem each time.,S,F2,usually,QA,a/an,IND,-25.981765747070312,-26.39020156860352,-21.85316562652588,-22.97779655456543,-22.628396034240723,-23.625886917114254,-24.412561416625977,-25.57148742675781,-23.0700912475586,-25.856178283691406,-21.43769946,-20.950990869999995,-22.847448710000005
17,I read this poem at night,because it's my favorite.,Sc,F1,na_control,na_control,na_control,na_control,-15.129508972167969,-17.018234252929688,-15.668952465057371,-16.69875431060791,-15.633750915527344,-14.60749340057373,-16.819067001342773,-15.835870742797852,-16.025391578674316,-16.229198455810547,-14.8850021,-15.58446572,-20.34379081
17,I read this poem at night,but it's a different poem each time.,Sc,F2,na_control,na_control,na_control,na_control,-27.52843475341797,-27.24179458618164,-25.55295467376709,-25.73269557952881,-27.740548133850098,-27.892732620239254,-26.77501583099365,-29.40401554107666,-28.78931713104248,-29.7592248916626,-27.336811699999995,-26.10976545,-30.995656069999995
18,I usually buy some books from the local store,since I find those books interesting.,S,F1,usually,QA,some,QD,-24.941627502441406,-23.312728881835938,-23.876595973968502,-25.348487377166748,-23.10292339324951,-28.883169174194336,-21.76333713531494,-23.847649574279785,-20.99375915527344,-24.47359275817871,-22.042387400000003,-22.4675222,-23.4280313
18,I usually buy some books from the local store,although it's a different set of books each time.,S,F2,usually,QA,some,QD,-32.70733642578125,-32.08516025543213,-31.991905212402344,-31.936423301696777,-31.72825050354004,-33.73729705810547,-31.91341114044189,-36.18286991119385,-34.23105430603027,-35.5837926864624,-33.64703232,-36.53914040000001,-38.074956707000005
18,I bought some books from the local store,since I find those books interesting.,Sc,F1,na_control,na_control,na_control,na_control,-27.2346420288086,-24.18805313110352,-26.32881546020508,-26.48057174682617,-26.20933532714844,-30.492634773254395,-25.40239524841309,-25.287982940673828,-22.927844047546387,-28.73166561126709,-26.1478386,-28.77268736,-31.03667224
18,I bought some books from the local store,although it's a different set of books each time.,Sc,F2,na_control,na_control,na_control,na_control,-35.620513916015625,-34.67679977416992,-33.86326456069946,-34.665754318237305,-35.97909069061279,-40.07219982147217,-35.878668785095215,-40.51993560791016,-37.10864067077637,-41.72813129425049,-35.47939821,-43.75573281,-51.201438020000005
20,I always run with most of my colleagues,because they are also my running mates.,S,F1,always,QA,most,QD,-24.53602600097656,-25.799880981445312,-29.24637794494629,-26.87861490249633,-19.748897552490234,-19.61318016052246,-19.57486248016357,-20.756827354431152,-19.48385429382324,-21.97116756439209,-23.1090129,-20.777166850000004,-27.0379644
20,I always run with most of my colleagues,even though it's a different set of colleagues each time.,S,F2,always,QA,most,QD,-36.794677734375,-36.29835605621338,-34.73942565917969,-34.89703893661499,-31.423620223999023,-31.550032138824463,-28.259462356567383,-29.507644653320312,-30.91204166412353,-32.39686393737793,-30.30849862,-33.471957890000006,-34.3240135
20,I ran with most of my colleagues,because they are also my running mates.,Sc,F1,na_control,na_control,na_control,na_control,-28.011329650878903,-31.51355361938477,-33.860992431640625,-31.44807767868042,-23.73751544952393,-23.239069938659668,-25.332802772521973,-26.760754585266117,-23.055429458618164,-29.118210792541504,-25.5812608,-23.27132685,-30.115373559999995
20,I ran with most of my colleagues,even though it's a different set of colleagues each time.,Sc,F2,na_control,na_control,na_control,na_control,-40.602787017822266,-41.840768814086914,-40.61332511901856,-41.13349628448486,-39.01942300796509,-38.585805892944336,-36.6096830368042,-37.45945644378662,-37.54743385314941,-39.37034893035889,-40.48535295,-37.811442680000006,-41.75069316
21,I frequently watch some movies on Netflix,since I find these movies entertaining.,S,F1,frequently,QA,some,QD,-26.48042297363281,-24.12105178833008,-25.46689796447754,-24.742451190948486,-24.075746536254883,-26.639068603515625,-23.18930435180664,-26.246066093444824,-23.484378814697266,-25.194722175598145,-23.9182454,-24.871871540000004,-23.029876
21,I frequently watch some movies on Netflix,although it's a different set of movies each time.,S,F2,frequently,QA,some,QD,-34.480472564697266,-33.309946060180664,-30.876930236816406,-29.160194396972656,-33.00665664672852,-32.18830680847168,-31.53826141357422,-33.78578186035156,-31.92200183868408,-33.53682041168213,-32.749264399999994,-33.67593113,-35.848548529999995
21,I frequently watch these movies on Netflix,since I find these movies entertaining.,Sc,F1,na_control,na_control,na_control,na_control,-24.739830017089844,-21.16604995727539,-23.657849311828613,-23.322868824005127,-22.048388481140137,-24.914043426513672,-21.91668605804444,-23.90082836151123,-21.63629531860352,-24.925636291503903,-22.724132399999995,-23.5704717,-25.8250427
21,I frequently watch these movies on Netflix,although it's a different set of movies each time.,Sc,F2,na_control,na_control,na_control,na_control,-34.038814544677734,-32.64294242858887,-31.00324010848999,-29.77650451660156,-29.774535179138184,-29.461406230926517,-29.899104118347168,-28.83466053009033,-30.39119529724121,-31.074238777160645,-30.260428120000004,-30.793513319999995,-35.98647606
22,I sometimes listen to a few songs from the 80s,because I really like these songs.,S,F1,sometimes,QA,a few,QD,-19.33760070800781,-19.127094268798828,-19.703880786895752,-18.208075523376465,-18.054149627685547,-23.44572925567627,-17.977848052978516,-20.94184112548828,-17.38440704345703,-22.22297763824463,-17.8188624,-18.09945988,-25.20830659
22,I sometimes listen to a few songs from the 80s,though it's a different set of songs each time.,S,F2,sometimes,QA,a few,QD,-33.2645263671875,-32.84478569030762,-31.49904775619507,-28.34405899047852,-32.22272968292236,-35.52574634552002,-29.61444568634033,-34.5587854385376,-31.08003330230713,-34.90646457672119,-33.66484564,-32.96739832000001,-39.635634473
22,I sometimes listen to these few songs from the 80s,because I really like these songs.,Sc,F1,na_control,na_control,na_control,na_control,-18.442047119140625,-17.798011779785156,-18.163662910461422,-17.254924774169922,-15.735733032226562,-19.898632049560547,-16.057866096496582,-20.038418769836422,-15.47928524017334,-19.34145736694336,-16.5920339,-15.91050425,-22.51309604
22,I sometimes listen to these few songs from the 80s,though it's a different set of songs each time.,Sc,F2,na_control,na_control,na_control,na_control,-33.70994567871094,-32.86685943603516,-31.61010456085205,-29.3948974609375,-33.638282775878906,-33.27249526977539,-28.77248191833496,-33.95261096954346,-31.531492233276367,-33.03567600250244,-33.94354444,-33.95447623999999,-40.54429047
23,I often visit some places in my city,because I find these places interesting.,S,F1,often,QA,some,QD,-21.150299072265625,-19.901344299316406,-20.21698570251465,-19.749874114990234,-17.07380771636963,-18.55415916442871,-17.06580352783203,-20.19853782653809,-16.50153350830078,-21.08265590667725,-17.04973683,-17.36148028,-17.71873607
23,I often visit some places in my city,even though they are different places each time.,S,F2,often,QA,some,QD,-29.85302734375,-30.80741262435913,-29.883304119110107,-29.87462043762207,-28.13110637664795,-30.914215087890625,-26.996562004089355,-32.57496166229248,-26.95922470092773,-30.625164031982425,-28.39607219,-28.336586654,-32.91810117
23,I often visit these places in my city,because I find these places interesting.,Sc,F1,na_control,na_control,na_control,na_control,-19.37261962890625,-20.514080047607425,-19.590924739837646,-19.18255424499512,-18.11110782623291,-19.77311515808105,-18.020788192749023,-20.81398582458496,-17.924962997436523,-21.700310707092285,-18.81131945,-18.63866154,-23.15553999
23,I often visit these places in my city,even though they are different places each time.,Sc,F2,na_control,na_control,na_control,na_control,-28.885025024414062,-30.14677119255066,-28.48786401748657,-28.75310707092285,-27.579588890075684,-29.43895483016968,-26.908912658691406,-30.788429260253903,-26.323637008666992,-28.89737606048584,-27.752413314,-28.85142971,-39.74174487
24,I always drink at a bar in the evening,since it's my favourite bar.,S,F1,always,QA,a/an,IND,-21.468521118164062,-22.72345733642578,-20.99701356887817,-22.151031494140625,-24.21451568603516,-27.162363052368164,-22.15881824493408,-24.164649963378903,-21.53888511657715,-26.61323928833008,-25.023337,-23.5678948,-29.71165037
24,I always drink at a bar in the evening,although it's a different bar each evening.,S,F2,always,QA,a/an,IND,-32.291587829589844,-31.56495475769043,-28.81900691986084,-27.815468788146973,-25.600725173950195,-28.178147315979004,-25.38518714904785,-26.618553161621094,-24.26163387298584,-27.208312034606934,-26.740343650000003,-31.56519153,-34.8802917
24,I always drink at this bar in the evening,since it's my favourite bar.,Sc,F1,na_control,na_control,na_control,na_control,-19.00823211669922,-18.42761611938477,-18.07068681716919,-19.003040313720703,-17.764225959777832,-19.63409805297852,-18.518348693847656,-21.39174461364746,-17.775184631347656,-22.951804161071777,-21.247861600000004,-17.43030095,-22.66033875
24,I always drink at this bar in the evening,although it's a different bar each evening.,Sc,F2,na_control,na_control,na_control,na_control,-30.475860595703125,-30.22811508178711,-27.91031789779663,-28.361669063568115,-27.97169017791748,-27.805673599243164,-26.39115619659424,-25.87631607055664,-26.2857666015625,-27.008554458618164,-30.2273447,-31.1342344,-34.40778655
25,I frequently read a few books from the library,because I enjoy these books.,S,F1,frequently,QA,a few,QD,-20.664779663085938,-18.75366973876953,-18.874233722686768,-19.50894021987915,-20.04270076751709,-21.315656661987305,-20.508167266845703,-21.68448543548584,-22.43395233154297,-22.050684928894043,-18.877223600000004,-20.82860682,-23.5299191
25,I frequently read a few books from the library,and they are different books each time.,S,F2,frequently,QA,a few,QD,-25.923751831054688,-23.36616897583008,-24.169718742370605,-21.5776915550232,-23.449626922607425,-24.04700088500977,-20.59316062927246,-22.36215686798096,-21.79679012298584,-19.65912342071533,-21.35320991,-21.000915030000005,-22.37821373000001
