idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type,GPT-2,GPT-2 Medium,GPT-2 Large,GPT-2 XL,Llama-2 7B,Llama-2 7B Chat,Llama-2 13B,Llama-2 13B Chat,Llama-2 70B,Llama-2 70B Chat,GPT-3 davinci,GPT-3.5 td-002,GPT-3.5 td-003
29,I ignored a few professors,since there were no professors to shake hands with.,Sc,F2,na_control,na_control,na_control,na_control,-33.97496032714844,-31.01294708251953,-31.40468072891236,-32.41222524642944,-35.62448310852051,-37.99050712585449,-35.13620185852051,-34.9451265335083,-36.86594581604004,-37.21884822845459,-33.99344044,-36.496797896,-39.11273423600001
31,I didn't like all the books on sale,which is to say I enjoyed none of them.,S,F1,didn't,NEG,all,QD,-31.51416778564453,-30.076068878173828,-32.41568660736084,-29.95285081863404,-27.6910343170166,-32.442481994628906,-26.013978004455566,-27.830663681030277,-27.478156089782715,-27.10484790802002,-29.377577599999995,-28.14939009,-37.059330241
31,I didn't like all the books on sale,which is to say I enjoyed only a few of them.,S,F2,didn't,NEG,all,QD,-34.16985321044922,-32.55717182159424,-34.63968801498413,-33.11949348449707,-31.52711677551269,-36.26228427886963,-28.970093727111816,-29.707557678222656,-31.53759002685547,-29.2379846572876,-32.16267319,-31.32115536,-37.606031865
31,I disliked all the books on sale,which is to say I enjoyed none of them.,Sc,F1,na_control,na_control,na_control,na_control,-31.08526611328125,-29.87681007385254,-32.193378925323486,-28.531248092651367,-24.833312034606934,-26.640268325805664,-24.9347562789917,-22.69981384277344,-25.13834381103516,-24.48173236846924,-26.31688734,-23.78216219,-33.840571141999995
31,I disliked all the books on sale,which is to say I enjoyed only a few of them.,Sc,F2,na_control,na_control,na_control,na_control,-33.40220642089844,-32.56165313720703,-35.51074838638306,-33.216049671173096,-31.50990390777588,-35.974300384521484,-30.510364532470703,-29.52438163757324,-32.635541915893555,-33.73803806304932,-31.909269070000008,-30.27165802,-47.13381788
32,I didn't stop some people from leaving the office early on Friday,although I could have stopped them from doing so.,S,F1,didn't,NEG,some,QD,-30.34270477294922,-27.926952362060547,-27.50373411178589,-28.36696052551269,-23.65186882019043,-24.8982458114624,-22.59401798248291,-22.140578269958496,-20.99214744567871,-25.92207431793213,-22.850711529999995,-21.76381112,-33.206268872
32,I didn't stop some people from leaving the office early on Friday,because there's wasn't even anyone at the office on Friday.,S,F2,didn't,NEG,some,QD,-45.45888519287109,-41.10314178466797,-39.76321792602539,-41.24972486495972,-38.01669216156006,-39.526737213134766,-36.73003673553467,-44.590922355651855,-35.632683753967285,-42.80135536193848,-33.58546208520001,-42.85298798475,-50.26650899485
32,I allowed some people to leave the office early on Friday,although I could have stopped them from doing so.,Sc,F1,na_control,na_control,na_control,na_control,-29.87071228027344,-27.958187103271484,-29.215317249298096,-28.787935256958008,-24.39533233642578,-26.65221118927002,-23.27163600921631,-25.355884552001957,-24.761449813842773,-27.64909839630127,-26.37767359,-25.50425552,-34.16906097500001
32,I allowed some people to leave the office early on Friday,because there's wasn't even anyone at the office on Friday.,Sc,F2,na_control,na_control,na_control,na_control,-45.4921875,-42.52447891235352,-41.14694929122925,-41.75136756896973,-43.88801097869873,-49.5989294052124,-42.48281478881836,-52.81140804290772,-42.08428859710693,-49.82000255584717,-38.74823609999999,-42.863376772,-60.4942569594
34,I didn't pass all of my exams,"in other words, I got a grade of F in all of them.",S,F1,didn't,NEG,all,QD,-43.19915008544922,-42.7579288482666,-40.18821907043457,-40.37137269973755,-41.20478630065918,-34.43185472488403,-36.282830238342285,-40.004103660583496,-37.96375274658203,-42.33065032958984,-39.9099163,-41.39099322999999,-51.27247481
34,I didn't pass all of my exams,since I failed two of my six exams.,S,F2,didn't,NEG,all,QD,-32.76087188720703,-33.05804443359375,-30.93412637710572,-32.36884117126465,-24.794673442840576,-29.18615245819092,-25.14365100860596,-28.532986640930176,-26.81102561950684,-29.036836624145508,-25.28822124,-28.27368992,-33.382725209
34,I failed all of my exams,"in other words, I got a grade of F in all of them.",Sc,F1,na_control,na_control,na_control,na_control,-43.47338104248047,-43.111961364746094,-40.08447980880737,-39.26444959640503,-34.316781997680664,-28.411965370178223,-34.07858467102051,-32.30363941192627,-34.4555025100708,-37.13248825073242,-36.115048810000005,-42.01037079,-40.80344289
34,I failed all of my exams,since I failed two of my six exams.,Sc,F2,na_control,na_control,na_control,na_control,-30.85605239868164,-33.23337173461914,-29.655799865722656,-32.34601879119873,-29.14712953567505,-36.30750560760498,-28.419182777404785,-33.56423473358154,-31.30222797393799,-36.89712619781494,-30.01071565,-39.62261344,-47.34755897
35,I didn't reveal several secret addictions I have to my family,because I thought I would be judged for having them.,S,F1,didn't,NEG,several,QD,-29.8889389038086,-23.27832794189453,-24.95680570602417,-21.973690032958984,-18.63059425354004,-21.056888580322266,-19.691505432128903,-20.800752639770508,-18.561022758483887,-21.51368904113769,-20.56955022,-18.266631869,-18.362746016
35,I didn't reveal several secret addictions I have to my family,because I don't have any secret addictions in the first place.,S,F2,didn't,NEG,several,QD,-30.81079864501953,-27.506420135498047,-28.98392915725708,-26.12728214263916,-23.7170524597168,-28.66354465484619,-29.26093101501465,-30.887709617614743,-24.75869464874268,-28.150806427001957,-26.9436628499,-27.73860338527,-21.317664778789304
35,I hid several secret addictions I have from my family.,because I thought I would be judged for having them.,Sc,F1,na_control,na_control,na_control,na_control,-37.17599487304688,-33.63512420654297,-32.54986381530762,-28.57208824157715,-25.00984001159668,-25.958234786987305,-25.340466499328613,-25.947275161743164,-25.06609916687012,-28.392614364624023,-25.707188500000004,-29.198995851,-27.913253598
35,I hid several secret addictions I have from my family.,because I don't have any secret addictions in the first place.,Sc,F2,na_control,na_control,na_control,na_control,-39.172584533691406,-38.91402816772461,-38.83125925064087,-35.87608528137207,-33.32145404815674,-37.13337516784668,-37.32072925567627,-40.419023513793945,-36.453861236572266,-38.37872791290283,-39.46883477000001,-44.56779683623999,-41.26776202255
37,I didn't travel to two ski resorts this summer,even though I was supposed to go to them.,S,F1,didn't,NEG,two,NMR,-24.217544555664062,-22.04977035522461,-19.269659996032715,-19.26454305648804,-20.2809476852417,-22.299728393554688,-22.16084575653076,-21.409417152404785,-22.014317512512207,-24.06847286224365,-21.2432908772,-22.057245794500005,-30.4681373595
37,I didn't travel to two ski resorts this summer,because I didn't go anywhere.,S,F2,didn't,NEG,two,NMR,-18.76476287841797,-16.58121109008789,-16.96910333633423,-15.60022258758545,-13.188809394836426,-11.892558097839355,-15.543606758117676,-15.40170669555664,-14.796546936035156,-13.264549255371094,-15.271236667599998,-14.14081031944,-17.569945334544002
37,I avoided two resorts this summer,even though I was supposed to go to them.,Sc,F1,na_control,na_control,na_control,na_control,-25.384262084960938,-20.000152587890625,-19.946048259735107,-20.59203338623047,-19.38223934173584,-23.077899932861328,-20.655171394348145,-21.31005954742432,-19.971166610717773,-21.31693935394287,-20.766712543000004,-19.6937932012,-21.2912863671
37,I avoided two resorts this summer,because I didn't go anywhere.,Sc,F2,na_control,na_control,na_control,na_control,-20.24297332763672,-19.99954605102539,-19.694730758666992,-20.496941089630127,-19.978074073791504,-22.747360229492188,-19.66826820373535,-22.81116008758545,-19.943812370300293,-23.574009895324707,-19.48132106,-19.87289657,-23.289709254
38,I didn't win five games of tennis on Saturday,even though I was supposed to win them.,S,F1,didn't,NEG,five,NMR,-21.925689697265625,-20.15107727050781,-21.753650665283203,-19.18184757232666,-20.02112865447998,-21.360546112060547,-20.843505859375,-24.404022216796875,-22.08077335357666,-22.60889720916748,-21.433804542,-23.331914035600004,-34.461536338900004
38,I didn't win five games of tennis on Saturday,since I didn't play any tennis on Saturday.,S,F2,didn't,NEG,five,NMR,-25.7513427734375,-25.77328491210937,-24.488851070404053,-27.01002693176269,-17.588419914245605,-18.294050216674805,-14.876696586608888,-14.57468318939209,-17.146204948425293,-14.781813621520996,-18.3102347832,-14.416099239670004,-19.047146207569995
38,I lost five games of tennis on Saturday,even though I was supposed to win them.,Sc,F1,na_control,na_control,na_control,na_control,-22.27948760986328,-21.614994049072266,-21.9227147102356,-19.08759927749633,-19.527241706848145,-20.71662330627441,-18.14356708526612,-19.031298637390137,-20.1846284866333,-21.246392250061035,-18.7828783642,-21.066194294,-25.848965410999995
38,I lost five games of tennis on Saturday,since I didn't play any tennis on Saturday.,Sc,F2,na_control,na_control,na_control,na_control,-27.88028717041016,-27.08164978027344,-26.370957851409912,-28.590792179107662,-25.48285865783692,-25.13833904266357,-22.98328399658203,-19.732924461364743,-25.43810558319092,-20.895505905151367,-26.59031652,-26.455643271,-30.731524732
39,I didn't reject three applications for the job,despite the fact that my boss told me to reject them.,S,F1,didn't,NEG,three ,NMR,-28.28514862060547,-26.167442321777344,-27.19839334487915,-26.89511775970459,-23.233811378479004,-20.79659938812256,-27.29692840576172,-26.49842929840088,-26.411808013916016,-22.51664447784424,-24.7683455,-26.814299189,-29.9809687616
39,I didn't reject three applications for the job,because there were no applications in the first place.,S,F2,didn't,NEG,three ,NMR,-23.052452087402344,-19.92604255676269,-22.873279094696045,-22.28706932067871,-19.01532745361328,-16.137784004211426,-17.624244689941406,-16.13878059387207,-18.597376823425293,-17.625195503234863,-17.561367524,-18.586371201,-14.877905920500002
39,I accepted three applications for the job,despite the fact that my boss told me to reject them.,Sc,F1,na_control,na_control,na_control,na_control,-29.1386833190918,-28.56451797485352,-28.82502603530884,-28.841636657714844,-25.168143272399902,-25.61602783203125,-24.97914028167725,-24.89543056488037,-23.95082378387451,-21.860066413879395,-23.500550340000004,-26.209903417,-31.2409814119
39,I accepted three applications for the job,because there were no applications in the first place.,Sc,F2,na_control,na_control,na_control,na_control,-27.511207580566406,-26.14750862121582,-28.461697578430176,-28.222760677337646,-24.269227027893063,-27.66301155090332,-22.639533042907715,-26.247690200805664,-24.518423080444336,-27.553248405456543,-21.85041943,-25.71991217,-41.40975640999999
40,I sometimes see a carpenter from my window,and I'm actually friends with that carpenter.,S,F1,sometimes,QA,a/an,IND,-31.46849822998047,-29.093360900878903,-29.05650758743286,-28.412230968475345,-31.48806953430176,-33.11957263946533,-28.826988220214844,-29.1208610534668,-30.691932678222656,-37.412445068359375,-28.5586019849,-32.1041778526,-37.69776770542
40,I sometimes see a carpenter from my window,but it's a different one each time.,S,F2,sometimes,QA,a/an,IND,-28.09148406982422,-25.243953704833984,-22.02777576446533,-22.44904088973999,-20.59024715423584,-19.283238410949707,-20.912973403930664,-18.71672821044922,-20.586222648620605,-21.352274894714355,-18.90804385,-19.70272420000001,-23.969597714999995
40,I saw a carpenter from my window,and I'm actually friends with that carpenter.,Sc,F1,na_control,na_control,na_control,na_control,-32.54840087890625,-31.80435562133789,-30.50127124786377,-31.771525859832764,-34.120285987854004,-34.981082916259766,-31.728190422058105,-31.1847620010376,-31.95838165283203,-37.37494373321533,-29.2407988957,-33.3535780314,-41.68366318623001
40,I saw a carpenter from my window,but it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-31.999977111816406,-30.746044158935547,-28.623034954071045,-29.82203197479248,-30.403669357299805,-28.77557945251465,-27.86711883544922,-27.22007656097412,-28.04404067993164,-28.74343776702881,-26.41461999,-26.29314108,-35.53152
42,I sometimes like most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",S,F1,sometimes,QA,most,QD,-46.56283187866211,-44.71402072906494,-45.69365930557251,-49.93942022323608,-42.2316198348999,-48.61578750610352,-41.80435943603516,-42.127777099609375,-42.33701419830322,-42.72720241546631,-45.935871215000006,-53.41494453802999,-59.25552702386999
42,I sometimes like most songs on Mario's playlist,even though it's a different set of songs each time.,S,F2,sometimes,QA,most,QD,-30.09223937988281,-30.11909222602844,-28.48929023742676,-28.357070446014404,-29.534496307373047,-28.386359214782715,-27.21479225158692,-29.58337688446045,-29.84287643432617,-27.9583740234375,-28.90443185,-33.74274272,-34.74393853
42,I liked most songs on Mario's playlist,"because they're hip-hop songs, and now and then I enjoy hip-hop.",Sc,F1,na_control,na_control,na_control,na_control,-48.21897506713867,-47.577165603637695,-49.48153257369995,-49.27696990966797,-44.41388416290283,-51.61999130249024,-42.77965545654297,-48.91648387908936,-43.53717994689941,-50.94735240936279,-45.50609054850001,-63.59004369445,-57.93636590935001
42,I liked most songs on Mario's playlist,even though it's a different set of songs each time.,Sc,F2,na_control,na_control,na_control,na_control,-32.05626678466797,-29.781535148620605,-29.610889434814453,-29.56668281555176,-33.89395523071289,-39.01125240325928,-32.07143211364746,-35.65737533569336,-33.80556964874268,-37.85877418518066,-33.72929952999999,-39.4853421,-39.433965475
44,I occasionally consult two dentists,since I trust the two dentists.,S,F1,occasionally,QA,two,NMR,-29.90970993041992,-32.63810157775879,-30.59620380401612,-31.21518516540528,-27.00926971435547,-29.885713577270508,-28.06612873077393,-31.68027210235596,-27.02389335632324,-30.88924121856689,-27.5939038699,-24.36217531504,-27.677202105200003
44,I occasionally consult two dentists,although it's a different pair of dentists each time.,S,F2,occasionally,QA,two,NMR,-40.1413688659668,-36.17881774902344,-34.0567479133606,-30.915220737457275,-32.75689125061035,-33.810914039611816,-32.57470512390137,-35.02976417541504,-33.50708103179932,-35.49910259246826,-33.3012022367,-36.9738492341,-34.410448018400004
44,I consulted two dentists,since I trust the two dentists.,Sc,F1,na_control,na_control,na_control,na_control,-33.509307861328125,-38.23121929168701,-36.11696910858154,-34.383309841156006,-28.6062879562378,-31.093138694763184,-30.210405349731445,-36.33962059020996,-28.87229347229004,-36.036744117736816,-29.5970367319,-29.37767146354,-35.85128010905
44,I consulted two dentists,although it's a different pair of dentists each time.,Sc,F2,na_control,na_control,na_control,na_control,-44.52566909790039,-42.43452453613281,-41.62758922576904,-39.79579925537109,-40.49407768249512,-39.37881565093994,-38.95172595977783,-39.0518798828125,-41.82732200622559,-42.63769245147705,-39.118888047,-39.168711946,-43.4755242674
45,I usually hammer a wall in the morning,because I'm trying to damage that wall.,S,F1,usually,QA,a/an,IND,-29.619796752929688,-28.230262756347656,-29.070370197296143,-26.554089546203613,-30.078701972961422,-28.315421104431152,-30.83145427703857,-30.561378479003903,-27.4694242477417,-27.0850248336792,-31.662440935,-32.826950755,-38.078237386
45,I usually hammer a wall in the morning,but it's a different wall each time.,S,F2,usually,QA,a/an,IND,-28.176284790039062,-26.38124656677246,-24.77947902679444,-25.59392547607422,-21.690382957458496,-20.202277660369877,-24.52192974090576,-26.134753227233887,-22.63562393188477,-23.54318618774414,-24.25167405,-23.082547960000003,-25.6458407
45,I hammered a wall in the morning,because I'm trying to damage that wall.,Sc,F1,na_control,na_control,na_control,na_control,-32.00018310546875,-31.876480102539062,-30.69101047515869,-28.441144943237305,-30.660615921020508,-32.14779186248779,-32.89598655700684,-32.998661041259766,-33.23160743713379,-31.393272399902344,-34.63534503,-34.755035379,-45.8028039692
45,I hammered a wall in the morning,but it's a different wall each time.,Sc,F2,na_control,na_control,na_control,na_control,-31.021812438964844,-28.1032657623291,-26.88750648498535,-25.9892692565918,-26.42619514465332,-28.516036987304688,-25.90144920349121,-24.36913108825684,-25.69175338745117,-23.636590003967285,-26.2148088,-27.5195331,-37.31605579000001
46,I usually dust some shelves at home,because I enjoy cleaning those shelves.,S,F1,usually,QA,some,QD,-26.023117065429688,-22.96881866455078,-25.20939445495605,-23.033201217651367,-24.515543937683105,-26.184589385986328,-24.895980834960938,-27.995749473571777,-23.889379501342773,-26.47728157043457,-24.9649997,-28.96581998,-29.0120853
46,I usually dust some shelves at home,although it's a different set of shelves each time.,S,F2,usually,QA,some,QD,-33.60731506347656,-35.29871940612793,-34.747936725616455,-32.72969913482666,-33.58564901351929,-32.92389965057373,-30.675886154174805,-30.81409072875977,-31.139806747436523,-33.387152671813965,-31.281321410000004,-37.25208352999999,-35.541641330000004
46,I dusted some shelves at home,because I enjoy cleaning those shelves.,Sc,F1,na_control,na_control,na_control,na_control,-29.65770721435547,-26.27068328857422,-28.07372283935547,-26.47952890396118,-25.954933166503903,-27.26056861877441,-25.33471775054932,-25.90611743927002,-27.973493576049805,-26.318212509155277,-26.90912504,-33.786695030000004,-38.1491591
46,I dusted some shelves at home,although it's a different set of shelves each time.,Sc,F2,na_control,na_control,na_control,na_control,-36.98690414428711,-37.40558910369873,-36.31790781021118,-35.19538354873657,-38.22111701965332,-40.53956031799317,-36.27531719207764,-38.468021392822266,-37.972970962524414,-38.8165225982666,-36.8904353,-46.20477478,-45.155403594
47,I frequently greet most people in my lab,since I like them even outside work.,S,F1,frequently,QA,most,QD,-42.64833831787109,-39.51256942749024,-35.94007062911987,-37.163818359375,-35.53521156311035,-38.226173400878906,-34.9044885635376,-38.11739635467529,-33.670631408691406,-36.89942932128906,-33.69905877,-37.13157784,-39.603503020000005
47,I frequently greet most people in my lab,even though it's a different set of people each time.,S,F2,frequently,QA,most,QD,-36.9672737121582,-35.69607162475586,-30.862074851989743,-31.62446165084839,-33.87476873397827,-36.64029359817505,-36.97294902801514,-43.42868423461914,-32.46468544006348,-38.06186580657959,-33.75389303,-32.640810756,-34.09022439499999
47,I greeted most people in my lab,since I like them even outside work.,Sc,F1,na_control,na_control,na_control,na_control,-45.34223937988281,-41.13191223144531,-35.66992998123169,-40.074142932891846,-36.57546520233154,-38.582213401794434,-37.77106761932373,-39.3778772354126,-34.436370849609375,-39.30649375915527,-35.44752825,-36.7883133,-43.68926743
47,I greeted most people in my lab,even though it's a different set of people each time.,Sc,F2,na_control,na_control,na_control,na_control,-36.68278884887695,-36.58591628074646,-32.47428369522095,-35.01075506210327,-35.49032783508301,-39.20512342453003,-38.34075164794922,-41.556203842163086,-36.105414390563965,-41.45175552368164,-36.87816016000001,-35.13121192,-38.98198021
48,I often drink every bottle in the shared fridge,as I like those specific drinks.,S,F1,often,QA,every,QD,-32.466121673583984,-30.552623748779297,-31.17935371398925,-29.96110439300537,-32.784119606018066,-31.36596632003784,-29.07084846496582,-29.410165786743164,-29.24417495727539,-30.05348014831543,-28.7453166,-28.378651460000004,-32.04208503
48,I often drink every bottle in the shared fridge,despite the fact that it's a different set of drinks each time.,S,F2,often,QA,every,QD,-36.831275939941406,-39.36938095092773,-39.04203987121582,-35.83800411224365,-37.12556171417236,-40.48532247543335,-38.46279144287109,-41.706603050231934,-40.684842109680176,-43.65288257598877,-37.38074611,-40.44579318,-44.5525726
48,I drank every bottle in the shared fridge,as I like those specific drinks.,Sc,F1,na_control,na_control,na_control,na_control,-35.883941650390625,-33.616554260253906,-35.00947952270508,-33.731220722198486,-37.08458709716797,-36.96272468566895,-35.74095344543457,-35.32136011123657,-34.17222309112549,-35.94162178039551,-34.3203153,-35.650036300000004,-37.7503523
48,I drank every bottle in the shared fridge,despite the fact that it's a different set of drinks each time.,Sc,F2,na_control,na_control,na_control,na_control,-39.87325286865234,-41.97967720031738,-42.35877275466919,-40.6023063659668,-41.35884094238281,-44.18150997161865,-42.882999420166016,-46.72139549255371,-44.97546005249024,-51.82306385040283,-43.93845609,-45.59455513000001,-51.50855409
49,I generally spar with two boxers,because the two boxers are good training partners.,S,F1,generally,QA,two,NMR,-28.558025360107425,-29.230545043945312,-28.57867670059204,-28.574944972991943,-25.37638187408448,-26.004015922546387,-28.838354110717773,-30.333361625671387,-27.60971164703369,-30.906508445739743,-27.5326354669,-28.3227787704,-29.191647204416
49,I generally spar with two boxers,although it's a different pair of boxers each time.,S,F2,generally,QA,two,NMR,-40.0068473815918,-35.586952209472656,-35.65457344055176,-30.5767035484314,-28.27945709228516,-31.565964221954346,-30.767619132995605,-36.764296531677246,-30.08749485015869,-33.83013153076172,-27.833126386320007,-32.246139431299994,-30.888749215832306
49,I sparred with two boxers,because the two boxers are good training partners.,Sc,F1,na_control,na_control,na_control,na_control,-33.20489501953125,-33.836307525634766,-32.628278732299805,-33.1716194152832,-32.341217041015625,-34.976603507995605,-32.928436279296875,-33.75421905517578,-34.405503273010254,-33.07687568664551,-31.7126610948,-32.1308678229,-30.36636091687999
49,I sparred with two boxers,although it's a different pair of boxers each time.,Sc,F2,na_control,na_control,na_control,na_control,-44.250858306884766,-40.44607162475586,-39.02165794372559,-36.28601121902466,-36.90676498413086,-41.39204168319702,-37.74197196960449,-42.56367778778076,-40.341803550720215,-42.988243103027344,-37.10905621940001,-39.6042423184,-40.76311780923001
50,I always wear a jacket before going out,as it's my favourite one.,S,F1,always,QA,a/an,IND,-24.37782287597656,-22.65836334228516,-22.185752391815186,-25.34312391281128,-23.34686279296875,-26.16887378692627,-24.500150680541992,-27.6324520111084,-22.679929733276367,-24.77622699737549,-21.3500677,-23.55594263,-30.853964324
50,I always wear a jacket before going out,although it's a different one each time.,S,F2,always,QA,a/an,IND,-31.30042266845703,-26.72891616821289,-24.696075439453125,-25.402416229248047,-26.875207901000977,-28.374080657958984,-25.949902534484863,-29.999457359313965,-27.214165687561035,-28.55909252166748,-26.41554904,-32.77443822,-34.04791479
50,I wore a jacket before going out,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control,-27.121131896972656,-23.41253662109375,-22.43099308013916,-24.61175107955933,-26.717354774475098,-27.44540882110596,-24.307496070861816,-27.47087955474853,-24.56314754486084,-29.023468017578125,-24.1015795,-24.052414530000004,-27.70193748
50,I wore a jacket before going out,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-34.13653564453125,-31.14921188354492,-28.76405906677246,-31.340455055236816,-35.49708557128906,-35.046786308288574,-33.4833984375,-37.35556602478027,-32.98397350311279,-36.372013092041016,-32.47880894,-36.25622527,-43.089374096
51,I always rent some pieces of gear before climbing,since I find those pieces of gear helpful.,S,F1,always,QA,some,QD,-30.7025146484375,-28.460018157958984,-30.14205503463745,-28.687074184417725,-28.13371229171753,-27.37154960632324,-32.17652225494385,-36.34634494781494,-31.36698627471924,-34.09413814544678,-33.02915332,-32.72167226,-30.7395733
51,I always rent some pieces of gear before climbing,although it's a different set of pieces of gear each time.,S,F2,always,QA,some,QD,-41.08031845092773,-42.01448631286621,-36.64522457122803,-36.09140205383301,-37.8484468460083,-37.3938455581665,-37.19486618041992,-42.91892147064209,-37.21188163757324,-40.512240409851074,-36.10014852,-39.712591546000006,-38.036385786
51,I rented some pieces of gear before climbing,since I find those pieces of gear helpful.,Sc,F1,na_control,na_control,na_control,na_control,-35.60017395019531,-32.21857452392578,-33.36891794204712,-31.908716678619385,-35.38315200805664,-34.63424301147461,-36.92892932891846,-38.96141242980957,-35.08216667175293,-38.525428771972656,-34.9969241,-36.35605905,-37.61448303000001
