idx,workerid,sentence,followup,stype,ftype,response,OP1,OP1_type,OP2,OP2_type,comments,slide_number_in_experiment,proliferate.condition
2,719,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,4.0,always,QA,a/an,IND,,9,Group 2
2,747,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,4.0,always,QA,a/an,IND,,21,Group 2
2,777,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,5.0,always,QA,a/an,IND,,7,Group 2
2,810,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,4.0,always,QA,a/an,IND,,12,Group 2
2,833,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,18,Group 2
2,635,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,1.0,na_control,na_control,na_control,na_control,,9,Group 22
2,685,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,11,Group 22
2,696,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,19,Group 22
2,734,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,23,Group 22
2,756,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,25,Group 22
2,787,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,19,Group 22
2,818,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,24,Group 22
2,846,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,10,Group 22
2,643,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,5,Group 24
2,669,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,14,Group 24
2,707,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,15,Group 24
2,737,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,it should say it was instead of its a,6,Group 24
2,766,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,5,Group 24
2,794,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,6,Group 24
2,822,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,23,Group 24
2,851,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,18,Group 24
3,645,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,7.0,sometimes,QA,a/an,IND,,18,Group 8
3,664,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,7.0,sometimes,QA,a/an,IND,,21,Group 8
3,701,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,7.0,sometimes,QA,a/an,IND,,21,Group 8
3,728,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,6.0,sometimes,QA,a/an,IND,,25,Group 8
3,758,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,5.0,sometimes,QA,a/an,IND,,5,Group 8
3,786,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,7.0,sometimes,QA,a/an,IND,,21,Group 8
3,814,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,4.0,sometimes,QA,a/an,IND,It make sense but I would not repeat the work restaurant as it sound repeative and robotic,7,Group 8
3,842,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,3.0,sometimes,QA,a/an,IND,"The sentence is mostly correct but replacing ""as"" with ""because"" would make it more natural.",5,Group 8
3,637,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,18,Group 19
3,671,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,2.0,sometimes,QA,a/an,IND,,15,Group 19
3,697,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,2.0,sometimes,QA,a/an,IND,,15,Group 19
3,721,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,7.0,sometimes,QA,a/an,IND,,15,Group 19
3,749,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,7.0,sometimes,QA,a/an,IND,,15,Group 19
3,776,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,7.0,sometimes,QA,a/an,IND,,9,Group 19
3,804,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,20,Group 19
3,836,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,11,Group 19
3,637,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,19,Group 19
3,671,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,18,Group 19
3,697,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,21,Group 19
3,721,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,21,Group 19
3,749,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,11,Group 19
3,776,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,19,Group 19
3,804,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,23,Group 19
3,836,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,20,Group 19
3,653,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,14,Group 18
3,680,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,7,Group 18
3,705,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,23,Group 18
3,731,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,16,Group 18
3,761,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,7,Group 18
3,791,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,24,Group 18
3,819,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,15,Group 18
3,845,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,16,Group 18
4,649,I always carry a bag when I travel,as it's my favourite one.,S,F1,3.0,always,QA,a/an,IND,,10,Group 12
4,679,I always carry a bag when I travel,as it's my favourite one.,S,F1,6.0,always,QA,a/an,IND,,23,Group 12
4,703,I always carry a bag when I travel,as it's my favourite one.,S,F1,7.0,always,QA,a/an,IND,,5,Group 12
4,730,I always carry a bag when I travel,as it's my favourite one.,S,F1,3.0,always,QA,a/an,IND,,10,Group 12
4,760,I always carry a bag when I travel,as it's my favourite one.,S,F1,7.0,always,QA,a/an,IND,,9,Group 12
4,790,I always carry a bag when I travel,as it's my favourite one.,S,F1,3.0,always,QA,a/an,IND,,18,Group 12
4,817,I always carry a bag when I travel,as it's my favourite one.,S,F1,6.0,always,QA,a/an,IND,,10,Group 12
4,844,I always carry a bag when I travel,as it's my favourite one.,S,F1,2.0,always,QA,a/an,IND,,19,Group 12
4,634,I always carry a bag when I travel,although it's a different one each time.,S,F2,6.0,always,QA,a/an,IND,,7,Group 13
4,663,I always carry a bag when I travel,although it's a different one each time.,S,F2,4.0,always,QA,a/an,IND,,21,Group 13
4,722,I always carry a bag when I travel,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,15,Group 13
4,752,I always carry a bag when I travel,although it's a different one each time.,S,F2,5.0,always,QA,a/an,IND,,14,Group 13
4,782,I always carry a bag when I travel,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,15,Group 13
4,803,I always carry a bag when I travel,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,11,Group 13
4,859,I always carry a bag when I travel,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,23,Group 13
4,641,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,2.0,na_control,na_control,na_control,na_control,,15,Group 21
4,676,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,11,Group 21
4,700,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,15,Group 21
4,727,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,19,Group 21
4,757,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,3.0,na_control,na_control,na_control,na_control,,5,Group 21
4,785,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,26,Group 21
4,809,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,10,Group 21
4,839,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,12,Group 21
4,634,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,25,Group 13
4,663,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,20,Group 13
4,722,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,,19,Group 13
4,752,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,16,Group 13
4,782,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,14,Group 13
4,803,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,20,Group 13
4,859,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,5,Group 13
5,644,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,7.0,always,QA,a/an,IND,,15,Group 2
5,666,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,5.0,always,QA,a/an,IND,,14,Group 2
5,692,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,2.0,always,QA,a/an,IND,,21,Group 2
5,719,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,7.0,always,QA,a/an,IND,,7,Group 2
5,747,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,4.0,always,QA,a/an,IND,Makes sense but feels clunky,6,Group 2
5,777,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,1.0,always,QA,a/an,IND,no specific tea,5,Group 2
5,810,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,4.0,always,QA,a/an,IND,,20,Group 2
5,833,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,7.0,always,QA,a/an,IND,"The second phrase follows naturally from the first but the first sounds unnatural. I think it would be more natural if ""a type"" was ""a certain type""",7,Group 2
5,654,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,6.0,always,QA,a/an,IND,,26,Group 1
5,681,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,3.0,always,QA,a/an,IND,,24,Group 1
5,708,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,3.0,always,QA,a/an,IND,,20,Group 1
5,792,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,1.0,always,QA,a/an,IND,,11,Group 1
5,820,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,6.0,always,QA,a/an,IND,,12,Group 1
5,847,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,6.0,always,QA,a/an,IND,,11,Group 1
5,863,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,3.0,always,QA,a/an,IND,,18,Group 1
5,639,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,10,Group 16
5,672,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,2.0,na_control,na_control,na_control,na_control,it would sound OK if a specific tea was mentioned,5,Group 16
5,698,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,25,Group 16
5,723,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,11,Group 16
5,753,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,23,Group 16
5,754,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,5,Group 11
5,783,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,18,Group 16
5,807,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,5.0,na_control,na_control,na_control,na_control,"Although ""tea"" is repeated, it doesn't sound too unnatural",7,Group 16
5,837,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,25,Group 16
5,857,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,21,Group 10
5,862,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,2.0,na_control,na_control,na_control,na_control,,12,Group 16
5,639,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,23,Group 16
5,672,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,21,Group 16
5,698,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,16,Group 16
5,723,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,18,Group 16
5,753,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,9,Group 16
5,754,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,15,Group 11
5,783,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,26,Group 16
5,807,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,21,Group 16
5,837,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,kind of natural as it states it drinks a type of tea but states its different each time ,7,Group 16
5,857,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,24,Group 10
5,862,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,,16,Group 16
6,649,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,6.0,sometimes,QA,a few,QD,,25,Group 12
6,679,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,5.0,sometimes,QA,a few,QD,,24,Group 12
6,703,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,3.0,sometimes,QA,a few,QD,,25,Group 12
6,730,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,7.0,sometimes,QA,a few,QD,,16,Group 12
6,760,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,7.0,sometimes,QA,a few,QD,,12,Group 12
6,790,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,6.0,sometimes,QA,a few,QD,,12,Group 12
6,817,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,6.0,sometimes,QA,a few,QD,,14,Group 12
6,844,I sometimes play a few games on my phone,because I really enjoy those games.,S,F1,7.0,sometimes,QA,a few,QD,seems natural,6,Group 12
6,650,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,3.0,sometimes,QA,a few,QD,,20,Group 9
6,670,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,5.0,sometimes,QA,a few,QD,,7,Group 9
6,695,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,4.0,sometimes,QA,a few,QD,,21,Group 9
6,724,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,2.0,sometimes,QA,a few,QD,,10,Group 9
6,750,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,2.0,sometimes,QA,a few,QD,,20,Group 9
6,781,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,6.0,sometimes,QA,a few,QD,,20,Group 9
6,835,I sometimes play a few games on my phone,and it's a different set of games each time.,S,F2,2.0,sometimes,QA,a few,QD,,20,Group 9
6,649,I played a few games on my phone,because I really enjoy those games.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,26,Group 12
6,679,I played a few games on my phone,because I really enjoy those games.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,18,Group 12
6,703,I played a few games on my phone,because I really enjoy those games.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,12,Group 12
6,730,I played a few games on my phone,because I really enjoy those games.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,7,Group 12
6,760,I played a few games on my phone,because I really enjoy those games.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,24,Group 12
6,790,I played a few games on my phone,because I really enjoy those games.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,5,Group 12
6,817,I played a few games on my phone,because I really enjoy those games.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,9,Group 12
6,844,I played a few games on my phone,because I really enjoy those games.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,24,Group 12
6,634,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,11,Group 13
6,663,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,,18,Group 13
6,722,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,Tense isn't quite right,5,Group 13
6,752,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,11,Group 13
6,782,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,,21,Group 13
6,803,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,19,Group 13
6,859,I played a few games on my phone,and it's a different set of games each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,18,Group 13
7,657,I usually cook some dishes for dinner,because I love cooking those dishes.,S,F1,1.0,usually,QA,some,QD,,11,Group 3
7,682,I usually cook some dishes for dinner,because I love cooking those dishes.,S,F1,2.0,usually,QA,some,QD,,11,Group 3
