idx,workerid,sentence,Option A,Option B,response,gold_ans,gold_scope_label,OP1,OP1_type,OP2,OP2_type,comments,slide_number_in_experiment,proliferate.condition
13,480,A city has exactly two hospitals - Mercy Hospital and Grace Hospital.,the two hospitals are not in the same city,the two hospitals are in the same city,B,B,surface,a,indefinite,exactly two,number,,16,Group 42
13,346,A city has exactly two hospitals - Mercy Hospital and Grace Hospital.,the two hospitals are not in the same city,the two hospitals are in the same city,B,B,surface,a,indefinite,exactly two,number,,25,Group 42
13,517,A city has exactly two hospitals - Mercy Hospital and Grace Hospital.,the two hospitals are not in the same city,the two hospitals are in the same city,B,B,surface,a,indefinite,exactly two,number,,12,Group 42
13,579,A city has exactly two hospitals - Mercy Hospital and Grace Hospital.,the two hospitals are not in the same city,the two hospitals are in the same city,B,B,surface,a,indefinite,exactly two,number,,27,Group 42
14,343,A chef prepares exactly five dishes for a dinner party.,not all dishes are prepared by the same chef,all dishes are prepared by the same chef,B,B,surface,a,indefinite,exactly five,number,,27,Group 46
14,512,A chef prepares exactly five dishes for a dinner party.,not all dishes are prepared by the same chef,all dishes are prepared by the same chef,B,B,surface,a,indefinite,exactly five,number,,26,Group 46
14,613,A chef prepares exactly five dishes for a dinner party.,not all dishes are prepared by the same chef,all dishes are prepared by the same chef,B,B,surface,a,indefinite,exactly five,number,,6,Group 46
17,406,A band plays exactly three songs in a concert.,not all songs are played by the same band,all songs are played by the same band,B,B,surface,a,indefinite,exactly three,number,,24,Group 6
17,525,A band plays exactly three songs in a concert.,not all songs are played by the same band,all songs are played by the same band,B,B,surface,a,indefinite,exactly three,number,,15,Group 6
17,466,A band plays exactly three songs in a concert.,not all songs are played by the same band,all songs are played by the same band,B,B,surface,a,indefinite,exactly three,number,,12,Group 6
17,578,A band plays exactly three songs in a concert.,not all songs are played by the same band,all songs are played by the same band,A,B,surface,a,indefinite,exactly three,number,,14,Group 6
17,357,A band plays exactly three songs in a concert.,not all songs are played by the same band,all songs are played by the same band,B,B,surface,a,indefinite,exactly three,number,,20,Group 6
18,451,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,,10,Group 36
18,355,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,,17,Group 36
18,401,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,,19,Group 36
18,506,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,hard to tell,17,Group 36
18,573,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,,14,Group 36
18,380,A company has exactly two branches - Main Branch and Sub Branch.,the two branches do not belong to the same company,the two branches belong to the same company,B,B,surface,a,indefinite,exactly two,number,,6,Group 48
19,496,"A pilot flies exactly five planes: A, B, C, D, and E.",not all planes are flown by the same pilot,all planes are flown by the same pilot,B,B,surface,a,indefinite,exactly five,number,,14,Group 0
19,441,"A pilot flies exactly five planes: A, B, C, D, and E.",not all planes are flown by the same pilot,all planes are flown by the same pilot,B,B,surface,a,indefinite,exactly five,number,,27,Group 0
19,552,"A pilot flies exactly five planes: A, B, C, D, and E.",not all planes are flown by the same pilot,all planes are flown by the same pilot,B,B,surface,a,indefinite,exactly five,number,,10,Group 0
19,608,"A pilot flies exactly five planes: A, B, C, D, and E.",not all planes are flown by the same pilot,all planes are flown by the same pilot,B,B,surface,a,indefinite,exactly five,number,,14,Group 0
19,385,"A pilot flies exactly five planes: A, B, C, D, and E.",not all planes are flown by the same pilot,all planes are flown by the same pilot,A,B,surface,a,indefinite,exactly five,number,"Since he only flies 5 of them, he does not fly all of them? ",14,Group 0
20,598,"A teacher teaches five different subjects - Math, English, Science, History, and Geography.",all subjects are taught by the same teacher,not all of the subjects are taught by the same teacher,A,A,surface,a,indefinite,five,number,,7,Group 10
20,537,"A teacher teaches five different subjects - Math, English, Science, History, and Geography.",all subjects are taught by the same teacher,not all of the subjects are taught by the same teacher,A,A,surface,a,indefinite,five,number,,15,Group 10
20,417,"A teacher teaches five different subjects - Math, English, Science, History, and Geography.",all subjects are taught by the same teacher,not all of the subjects are taught by the same teacher,A,A,surface,a,indefinite,five,number,,22,Group 10
20,373,"A teacher teaches five different subjects - Math, English, Science, History, and Geography.",all subjects are taught by the same teacher,not all of the subjects are taught by the same teacher,A,A,surface,a,indefinite,five,number,,6,Group 10
20,477,"A teacher teaches five different subjects - Math, English, Science, History, and Geography.",all subjects are taught by the same teacher,not all of the subjects are taught by the same teacher,A,A,surface,a,indefinite,five,number,,22,Group 10
21,595,"A restaurant serves four types of pasta - spaghetti, lasagna, fettuccine, and ravioli.",the four types of pasta are not all served by the same restaurant,the four types of pasta are all served by the same restaurant,B,B,surface,a,indefinite,four,number,,19,Group 11
21,371,"A restaurant serves four types of pasta - spaghetti, lasagna, fettuccine, and ravioli.",the four types of pasta are not all served by the same restaurant,the four types of pasta are all served by the same restaurant,B,B,surface,a,indefinite,four,number,,12,Group 11
21,398,"A restaurant serves four types of pasta - spaghetti, lasagna, fettuccine, and ravioli.",the four types of pasta are not all served by the same restaurant,the four types of pasta are all served by the same restaurant,B,B,surface,a,indefinite,four,number,,10,Group 11
21,470,"A restaurant serves four types of pasta - spaghetti, lasagna, fettuccine, and ravioli.",the four types of pasta are not all served by the same restaurant,the four types of pasta are all served by the same restaurant,B,B,surface,a,indefinite,four,number,,24,Group 11
21,523,"A restaurant serves four types of pasta - spaghetti, lasagna, fettuccine, and ravioli.",the four types of pasta are not all served by the same restaurant,the four types of pasta are all served by the same restaurant,B,B,surface,a,indefinite,four,number,,17,Group 11
22,440,"A gardener maintains six different gardens - A, B, C, D, E, and F.",all gardens are maintained by the same gardener,not all of the gardens are maintained by the same gardener,A,A,surface,a,indefinite,six,number,,22,Group 45
22,514,"A gardener maintains six different gardens - A, B, C, D, E, and F.",all gardens are maintained by the same gardener,not all of the gardens are maintained by the same gardener,B,A,surface,a,indefinite,six,number,,11,Group 45
22,495,"A gardener maintains six different gardens - A, B, C, D, E, and F.",all gardens are maintained by the same gardener,not all of the gardens are maintained by the same gardener,A,A,surface,a,indefinite,six,number,,12,Group 45
22,615,"A gardener maintains six different gardens - A, B, C, D, E, and F.",all gardens are maintained by the same gardener,not all of the gardens are maintained by the same gardener,A,A,surface,a,indefinite,six,number,,19,Group 45
22,558,"A gardener maintains six different gardens - A, B, C, D, E, and F.",all gardens are maintained by the same gardener,not all of the gardens are maintained by the same gardener,A,A,surface,a,indefinite,six,number,,19,Group 45
23,440,A library has exactly two sections - fiction and non-fiction.,both sections are in the same library,both sections are not in the same library,A,A,surface,a,indefinite,exactly two,number,,7,Group 45
23,514,A library has exactly two sections - fiction and non-fiction.,both sections are in the same library,both sections are not in the same library,A,A,surface,a,indefinite,exactly two,number,,21,Group 45
23,495,A library has exactly two sections - fiction and non-fiction.,both sections are in the same library,both sections are not in the same library,A,A,surface,a,indefinite,exactly two,number,,14,Group 45
23,615,A library has exactly two sections - fiction and non-fiction.,both sections are in the same library,both sections are not in the same library,A,A,surface,a,indefinite,exactly two,number,,9,Group 45
23,558,A library has exactly two sections - fiction and non-fiction.,both sections are in the same library,both sections are not in the same library,A,A,surface,a,indefinite,exactly two,number,,24,Group 45
26,598,"A gym offers five different classes - yoga, pilates, spinning, zumba, and kickboxing.",not all of the classes are offered by the same gym,all classes are offered by the same gym,B,B,surface,a,indefinite,five,number,,21,Group 10
26,537,"A gym offers five different classes - yoga, pilates, spinning, zumba, and kickboxing.",not all of the classes are offered by the same gym,all classes are offered by the same gym,B,B,surface,a,indefinite,five,number,,14,Group 10
26,417,"A gym offers five different classes - yoga, pilates, spinning, zumba, and kickboxing.",not all of the classes are offered by the same gym,all classes are offered by the same gym,B,B,surface,a,indefinite,five,number,,6,Group 10
26,373,"A gym offers five different classes - yoga, pilates, spinning, zumba, and kickboxing.",not all of the classes are offered by the same gym,all classes are offered by the same gym,B,B,surface,a,indefinite,five,number,,21,Group 10
26,477,"A gym offers five different classes - yoga, pilates, spinning, zumba, and kickboxing.",not all of the classes are offered by the same gym,all classes are offered by the same gym,B,B,surface,a,indefinite,five,number,,26,Group 10
27,465,A museum displays exactly seven different exhibits.,all exhibits are displayed in the same museum,not all exhibits are displayed in the same museum,A,A,surface,a,indefinite,exactly seven,number,,19,Group 34
27,577,A museum displays exactly seven different exhibits.,all exhibits are displayed in the same museum,not all exhibits are displayed in the same museum,A,A,surface,a,indefinite,exactly seven,number,,9,Group 34
27,531,A museum displays exactly seven different exhibits.,all exhibits are displayed in the same museum,not all exhibits are displayed in the same museum,B,A,surface,a,indefinite,exactly seven,number,,12,Group 34
27,344,A museum displays exactly seven different exhibits.,all exhibits are displayed in the same museum,not all exhibits are displayed in the same museum,A,A,surface,a,indefinite,exactly seven,number,The logic A museum not the museums.,20,Group 34
27,419,A museum displays exactly seven different exhibits.,all exhibits are displayed in the same museum,not all exhibits are displayed in the same museum,A,A,surface,a,indefinite,exactly seven,number,,21,Group 34
28,496,"A chef cooks four different dishes - steak, chicken, fish, and vegetarian.",all dishes are cooked by the same chef,not all of the dishes are cooked by the same chef,A,A,surface,a,indefinite,four,number,,25,Group 0
28,441,"A chef cooks four different dishes - steak, chicken, fish, and vegetarian.",all dishes are cooked by the same chef,not all of the dishes are cooked by the same chef,A,A,surface,a,indefinite,four,number,,25,Group 0
28,552,"A chef cooks four different dishes - steak, chicken, fish, and vegetarian.",all dishes are cooked by the same chef,not all of the dishes are cooked by the same chef,A,A,surface,a,indefinite,four,number,,7,Group 0
28,608,"A chef cooks four different dishes - steak, chicken, fish, and vegetarian.",all dishes are cooked by the same chef,not all of the dishes are cooked by the same chef,A,A,surface,a,indefinite,four,number,"This one is tricky. Does it mean 'a chef' as in a specific chef, or 'a chef' as in.. chefs in general? It's unclear",27,Group 0
28,385,"A chef cooks four different dishes - steak, chicken, fish, and vegetarian.",all dishes are cooked by the same chef,not all of the dishes are cooked by the same chef,A,A,surface,a,indefinite,four,number,,22,Group 0
29,443,A company produces exactly two types of product - A and B.,both products are produced by the same company,both products are not produced by the same company,A,A,surface,a,indefinite,exactly two,number,,25,Group 23
29,555,A company produces exactly two types of product - A and B.,both products are produced by the same company,both products are not produced by the same company,A,A,surface,a,indefinite,exactly two,number,,12,Group 23
29,386,A company produces exactly two types of product - A and B.,both products are produced by the same company,both products are not produced by the same company,A,A,surface,a,indefinite,exactly two,number,,19,Group 23
29,611,A company produces exactly two types of product - A and B.,both products are produced by the same company,both products are not produced by the same company,A,A,surface,a,indefinite,exactly two,number,,27,Group 23
29,498,A company produces exactly two types of product - A and B.,both products are produced by the same company,both products are not produced by the same company,A,A,surface,a,indefinite,exactly two,number,,6,Group 23
30,482,"A bakery makes exactly six types of bread - Rye, Sourdough, Baguette, Ciabatta, Focaccia, and Pumpernickel.",all six types of bread are made by the same bakery,not all of the six types of bread are made by the same bakery,A,A,surface,a,indefinite,exactly six,number,,20,Group 15
30,370,"A bakery makes exactly six types of bread - Rye, Sourdough, Baguette, Ciabatta, Focaccia, and Pumpernickel.",all six types of bread are made by the same bakery,not all of the six types of bread are made by the same bakery,A,A,surface,a,indefinite,exactly six,number,,15,Group 15
30,431,"A bakery makes exactly six types of bread - Rye, Sourdough, Baguette, Ciabatta, Focaccia, and Pumpernickel.",all six types of bread are made by the same bakery,not all of the six types of bread are made by the same bakery,A,A,surface,a,indefinite,exactly six,number,,25,Group 15
30,594,"A bakery makes exactly six types of bread - Rye, Sourdough, Baguette, Ciabatta, Focaccia, and Pumpernickel.",all six types of bread are made by the same bakery,not all of the six types of bread are made by the same bakery,A,A,surface,a,indefinite,exactly six,number,,26,Group 15
30,535,"A bakery makes exactly six types of bread - Rye, Sourdough, Baguette, Ciabatta, Focaccia, and Pumpernickel.",all six types of bread are made by the same bakery,not all of the six types of bread are made by the same bakery,A,A,surface,a,indefinite,exactly six,number,,25,Group 15
31,379,"A library has exactly three sections - Fiction, Non-fiction, and Reference.",all three sections are in the same library,not all sections are in the same library,A,A,surface,a,indefinite,exactly three,number,,7,Group 40
31,434,"A library has exactly three sections - Fiction, Non-fiction, and Reference.",all three sections are in the same library,not all sections are in the same library,A,A,surface,a,indefinite,exactly three,number,,22,Group 40
31,604,"A library has exactly three sections - Fiction, Non-fiction, and Reference.",all three sections are in the same library,not all sections are in the same library,A,A,surface,a,indefinite,exactly three,number,,5,Group 40
31,547,"A library has exactly three sections - Fiction, Non-fiction, and Reference.",all three sections are in the same library,not all sections are in the same library,A,A,surface,a,indefinite,exactly three,number,,17,Group 40
31,490,"A library has exactly three sections - Fiction, Non-fiction, and Reference.",all three sections are in the same library,not all sections are in the same library,A,A,surface,a,indefinite,exactly three,number,,11,Group 40
32,377,"A hospital has seven departments - Cardiology, Neurology, Pediatrics, Oncology, Orthopedics, Radiology, and Urology.",not all of the seven departments are in the same hospital,all seven departments are in the same hospital,B,B,surface,a,indefinite,seven,number,,5,Group 50
32,430,"A hospital has seven departments - Cardiology, Neurology, Pediatrics, Oncology, Orthopedics, Radiology, and Urology.",not all of the seven departments are in the same hospital,all seven departments are in the same hospital,B,B,surface,a,indefinite,seven,number,,19,Group 50
32,601,"A hospital has seven departments - Cardiology, Neurology, Pediatrics, Oncology, Orthopedics, Radiology, and Urology.",not all of the seven departments are in the same hospital,all seven departments are in the same hospital,B,B,surface,a,indefinite,seven,number,,12,Group 50
32,542,"A hospital has seven departments - Cardiology, Neurology, Pediatrics, Oncology, Orthopedics, Radiology, and Urology.",not all of the seven departments are in the same hospital,all seven departments are in the same hospital,B,B,surface,a,indefinite,seven,number,,17,Group 50
32,489,"A hospital has seven departments - Cardiology, Neurology, Pediatrics, Oncology, Orthopedics, Radiology, and Urology.",not all of the seven departments are in the same hospital,all seven departments are in the same hospital,B,B,surface,a,indefinite,seven,number,,15,Group 50
33,447,"A zoo houses exactly eight species of birds - Sparrow, Eagle, Parrot, Penguin, Flamingo, Peacock, Owl, and Pigeon.",not all of the eight species of birds are housed by the same zoo,all eight species of birds are housed by the same zoo,B,B,surface,a,indefinite,exactly eight,number,,10,Group 35
33,509,"A zoo houses exactly eight species of birds - Sparrow, Eagle, Parrot, Penguin, Flamingo, Peacock, Owl, and Pigeon.",not all of the eight species of birds are housed by the same zoo,all eight species of birds are housed by the same zoo,B,B,surface,a,indefinite,exactly eight,number,,7,Group 35
33,333,"A zoo houses exactly eight species of birds - Sparrow, Eagle, Parrot, Penguin, Flamingo, Peacock, Owl, and Pigeon.",not all of the eight species of birds are housed by the same zoo,all eight species of birds are housed by the same zoo,B,B,surface,a,indefinite,exactly eight,number,,24,Group 35
33,393,"A zoo houses exactly eight species of birds - Sparrow, Eagle, Parrot, Penguin, Flamingo, Peacock, Owl, and Pigeon.",not all of the eight species of birds are housed by the same zoo,all eight species of birds are housed by the same zoo,B,B,surface,a,indefinite,exactly eight,number,,6,Group 35
33,560,"A zoo houses exactly eight species of birds - Sparrow, Eagle, Parrot, Penguin, Flamingo, Peacock, Owl, and Pigeon.",not all of the eight species of birds are housed by the same zoo,all eight species of birds are housed by the same zoo,B,B,surface,a,indefinite,exactly eight,number,,9,Group 35
35,566,"A restaurant serves six types of pasta - Spaghetti, Fettuccine, Penne, Lasagna, Ravioli, and Macaroni.",all six types of pasta are served by the same restaurant,not all of the six types of pasta are served by the same restaurant,A,A,surface,a,indefinite,six,number,,14,Group 33
35,337,"A restaurant serves six types of pasta - Spaghetti, Fettuccine, Penne, Lasagna, Ravioli, and Macaroni.",all six types of pasta are served by the same restaurant,not all of the six types of pasta are served by the same restaurant,A,A,surface,a,indefinite,six,number,,20,Group 33
35,395,"A restaurant serves six types of pasta - Spaghetti, Fettuccine, Penne, Lasagna, Ravioli, and Macaroni.",all six types of pasta are served by the same restaurant,not all of the six types of pasta are served by the same restaurant,A,A,surface,a,indefinite,six,number,,19,Group 33
35,524,"A restaurant serves six types of pasta - Spaghetti, Fettuccine, Penne, Lasagna, Ravioli, and Macaroni.",all six types of pasta are served by the same restaurant,not all of the six types of pasta are served by the same restaurant,A,A,surface,a,indefinite,six,number,,10,Group 33
35,456,"A restaurant serves six types of pasta - Spaghetti, Fettuccine, Penne, Lasagna, Ravioli, and Macaroni.",all six types of pasta are served by the same restaurant,not all of the six types of pasta are served by the same restaurant,A,A,surface,a,indefinite,six,number,,5,Group 33
36,447,"A train stops exactly four times - once at Station A, once at Station B, once at Station C, and once at Station D.",there is exactly one train in total,there is more than one train in total,A,A,surface,a,indefinite,exactly four,number,,20,Group 35
36,509,"A train stops exactly four times - once at Station A, once at Station B, once at Station C, and once at Station D.",there is exactly one train in total,there is more than one train in total,A,A,surface,a,indefinite,exactly four,number,,14,Group 35
36,333,"A train stops exactly four times - once at Station A, once at Station B, once at Station C, and once at Station D.",there is exactly one train in total,there is more than one train in total,A,A,surface,a,indefinite,exactly four,number,,6,Group 35
36,393,"A train stops exactly four times - once at Station A, once at Station B, once at Station C, and once at Station D.",there is exactly one train in total,there is more than one train in total,A,A,surface,a,indefinite,exactly four,number,,17,Group 35
36,560,"A train stops exactly four times - once at Station A, once at Station B, once at Station C, and once at Station D.",there is exactly one train in total,there is more than one train in total,B,A,surface,a,indefinite,exactly four,number,,11,Group 35
37,612,"A band has five members - E, F, G, H, and I.",there is exactly one band in total that has the five members,there is more than one band in total that has the five members,A,A,surface,a,indefinite,five,number,,22,Group 8
37,339,"A band has five members - E, F, G, H, and I.",there is exactly one band in total that has the five members,there is more than one band in total that has the five members,A,A,surface,a,indefinite,five,number,,21,Group 8
37,562,"A band has five members - E, F, G, H, and I.",there is exactly one band in total that has the five members,there is more than one band in total that has the five members,A,A,surface,a,indefinite,five,number,,27,Group 8
37,505,"A band has five members - E, F, G, H, and I.",there is exactly one band in total that has the five members,there is more than one band in total that has the five members,B,A,surface,a,indefinite,five,number,,25,Group 8
37,452,"A band has five members - E, F, G, H, and I.",there is exactly one band in total that has the five members,there is more than one band in total that has the five members,A,A,surface,a,indefinite,five,number,,24,Group 8
